results_xml,target_key,toplevel,test_module,module_area,testcase,classname,file,lineno,time_s,sim_time_ns,ratio_time,status
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper/axi_filter_wrapper_stress_axi_filterwrapper/build/results.xml,axi_filter_wrapper_stress,axi_filterwrapper,tests.test_axi_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_backpressure_handshake_only,tests.test_axi_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper.py,419,1.5851693153381348,188660.00000000003,119015.67748916254,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper/axi_filter_wrapper_stress_axi_filterwrapper/build/results.xml,axi_filter_wrapper_stress,axi_filterwrapper,tests.test_axi_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_lenna_end_to_end,tests.test_axi_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper.py,394,0.0002532005310058594,0.0,0.0,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper/axi_filter_wrapper_stress_axi_filterwrapper/build/results.xml,axi_filter_wrapper_stress,axi_filterwrapper,tests.test_axi_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_simple_image,tests.test_axi_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper.py,386,1.2461678981781006,165190.0,132558.3817730404,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper/axi_filter_wrapper_stress_axi_filterwrapper/build/results.xml,axi_filter_wrapper_stress,axi_filterwrapper,tests.test_axi_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_stress_fast,tests.test_axi_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper.py,434,4.951166152954102,535330.0,108122.00266811822,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_filter_wrapper/axi_filter_wrapper_stress_axi_filterwrapper/build/results.xml,axi_filter_wrapper_stress,axi_filterwrapper,tests.test_axi_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_stress_heavy_randomized,tests.test_axi_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_filter_wrapper.py,466,10.340665340423584,1021510.0,98785.71314040378,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_rgb_to_grayscale/axi_rgb_to_grayscale_axi_rgbtograyscale/build/results.xml,axi_rgb_to_grayscale,axi_rgbtograyscale,tests.test_axi_rgb_to_grayscale,RGB2Gray,test_axi_rgb_to_grayscale_image_file_roundtrip,tests.test_axi_rgb_to_grayscale,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_rgb_to_grayscale.py,526,19.844948768615723,2621490.0,132098.6025494719,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_rgb_to_grayscale/axi_rgb_to_grayscale_axi_rgbtograyscale/build/results.xml,axi_rgb_to_grayscale,axi_rgbtograyscale,tests.test_axi_rgb_to_grayscale,RGB2Gray,test_axi_rgb_to_grayscale_passthrough_mode,tests.test_axi_rgb_to_grayscale,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_rgb_to_grayscale.py,536,0.006707429885864258,530.0,79016.85280631288,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_rgb_to_grayscale/axi_rgb_to_grayscale_axi_rgbtograyscale/build/results.xml,axi_rgb_to_grayscale,axi_rgbtograyscale,tests.test_axi_rgb_to_grayscale,RGB2Gray,test_axi_rgb_to_grayscale_stress_matrix,tests.test_axi_rgb_to_grayscale,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_rgb_to_grayscale.py,547,0.11070370674133301,3140.0,28364.00055995262,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_rgb_to_grayscale/axi_rgb_to_grayscale_axi_rgbtograyscale/build/results.xml,axi_rgb_to_grayscale,axi_rgbtograyscale,tests.test_axi_rgb_to_grayscale,RGB2Gray,test_axi_rgb_to_grayscale_with_backpressure_three_cycle_breaks,tests.test_axi_rgb_to_grayscale,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_rgb_to_grayscale.py,513,0.024465084075927734,830.0,33925.9001695675,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_sobel_filter/axi_sobel_filter_axi_sobelfilter/build/results.xml,axi_sobel_filter,axi_sobelfilter,tests.test_axi_sobel_filter,Sobel + Filter Wrapper,test_axi_sobel_filter_gradient_gray_windows,tests.test_axi_sobel_filter,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_sobel_filter.py,318,0.01848435401916504,700.0,37869.865469695214,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_sobel_filter/axi_sobel_filter_axi_sobelfilter/build/results.xml,axi_sobel_filter,axi_sobelfilter,tests.test_axi_sobel_filter,Sobel + Filter Wrapper,test_axi_sobel_filter_lenna_end_to_end,tests.test_axi_sobel_filter,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_sobel_filter.py,325,40.634870290756226,6291570.0,154831.79729581246,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_sobel_filter/axi_sobel_filter_axi_sobelfilter/build/results.xml,axi_sobel_filter,axi_sobelfilter,tests.test_axi_sobel_filter,Sobel + Filter Wrapper,test_axi_sobel_filter_stress_fast,tests.test_axi_sobel_filter,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_sobel_filter.py,341,0.8284265995025635,83020.0,100214.06851234635,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_sobel_filter/axi_sobel_filter_axi_sobelfilter/build/results.xml,axi_sobel_filter,axi_sobelfilter,tests.test_axi_sobel_filter,Sobel + Filter Wrapper,test_axi_sobel_filter_stress_heavy_randomized,tests.test_axi_sobel_filter,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_sobel_filter.py,359,14.489258050918579,1411670.0,97428.72927233869,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_windowed_filter_wrapper/axi_windowed_filter_wrapper_axi_windowedfilterwrapper/build/results.xml,axi_windowed_filter_wrapper,windowedfilterwrapper,tests.test_axi_windowed_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_backpressure_handshake_only,tests.test_axi_windowed_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_windowed_filter_wrapper.py,297,50.30841684341431,3001190.0,59655.822788883386,pass
